---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Who are you?,section1_01,,,,
section1_01,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")","I'm Thanos, bringer of darkness.",Section1_02,,,,
Section1_02,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",You're a... what?,Section1_03,,,,
Section1_03,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",I'm not from around here.,Section1_04,,,,
Section1_04,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")","Oh. Well, this is a really nice place. You should stay a bit.",Section1_05,,,,
Section1_05,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Maybe. How long have you lived here?,Section1_06,,,,
Section1_06,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",I don't know.,Section1_07,,,,
Section1_07,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",You don't know?,Section1_08,,,,
Section1_08,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Mm. Does it really matter?,Section1_09,,,,
Section1_09,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",I guess not.,Section1_10,,,,
Section1_10,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Nice meeting you.,Section1_11,,,,
Section1_11,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Same here.,Section1_12,MeetDreamer,,,
Section1_12,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",...,[Finish],,section2_01,,
section2_01,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")","You know this place isn't real, right?",Section2_02,,,,
Section2_02,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",What are you talking about? You sound crazy. Heh.,Section2_03,,,,
Section2_03,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")","I mean, this isn't real life.",Section2_04,,,,
Section2_04,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")","Oh, sure. And I'm your great-aunt Linda!",Section2_05,,,,
Section2_05,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",This is a dream.,Section2_06,,,,
