---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Who are you?,1,,,,
1,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I'm Thanos bringer of darkness,2,,,,
2,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I don't know anyone by that name. Are you sure that's your name?,3,,,,
3,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Yes. I'm not from around here.,4,,,,
4,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Oh. Well, this is a really nice place. You should stay a bit.",5,,,,
5,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Maybe. How long have you lived here?,6,,,,
6,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I don't know.,7,,,,
7,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",You don't know?,8,,,,
8,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Mm. Does it really matter?,9,,,,
9,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I guess not.,10,,,,
10,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Nice meeting you.,11,,,,
11,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Same here.,12,,,,
12,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",...,[Finish],,13,,
13,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","You know this place isn't real, right?",14,,,,
14,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",What are you talking about? You sound crazy. Heh.,15,,,,
15,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","I mean, this isn't real life.",16,,,,
16,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Oh, sure. And I'm your great-aunt Linda!",17,,,,
17,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",This is a dream.,18,,,,
18,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",What? You mean like in Inception? You must watch too many movies.,19,,,,
19,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",You made this place up to deal with your loneliness.,20,,,,
20,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Man. You must have had too many drinks or something. You should lie down.,21,,,,
21,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",What if I could prove it to you?,22,,,,
22,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","If you can prove to me the world I've been living in for ten years is false, I'll give you all my money.",23,,,,
23,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Okay, fine. How about this? Can you tell me where you lived before this?",24,,,,
24,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Before this? I'm not sure what you mean.,25,,,,
25,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Before this town. You must've moved from somewhere...,26,,,,
26,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","That's silly. You know, you're really funny. We could be friends.",27,,,,
27,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Where did you come from?,28,,,,
28,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Jesus. I don't know.,29,,,,
29,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Doesn't that strike you as odd,30,,,,
30,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Not particularly.,31,,,,
31,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Seriously.,32,,,,
32,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Listen here. It was funny at first, but now it's just getting tiring.",33,,,,
33,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I'm not joking.,34,,,,
34,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Hey. You're making me a bit worried. Maybe go home and lie down or something. Seriously. Goodbye.,[Finish],,,,
